angle : 257.590942, distance : 0.000000
angle : 257.937012, distance : 0.000000
angle : 258.623657, distance : 0.000000
angle : 258.892822, distance : 0.000000
angle : 258.964233, distance : 0.000000
angle : 259.716797, distance : 0.000000
angle : 260.106812, distance : 0.000000
angle : 260.452881, distance : 0.000000
angle : 260.793457, distance : 0.000000
angle : 261.139526, distance : 0.000000
angle : 261.480103, distance : 0.000000
angle : 261.826172, distance : 0.000000
angle : 262.166748, distance : 0.000000
angle : 262.512817, distance : 0.000000
angle : 262.842407, distance : 0.000000
angle : 263.139038, distance : 0.000000
angle : 263.765259, distance : 0.000000
angle : 264.105835, distance : 0.000000
angle : 264.292603, distance : 0.000000
angle : 264.792480, distance : 0.000000
angle : 265.012207, distance : 0.000000
angle : 265.182495, distance : 0.000000
angle : 265.528564, distance : 0.000000
angle : 265.874634, distance : 0.000000
angle : 266.215210, distance : 0.000000
angle : 266.451416, distance : 0.000000
angle : 266.561279, distance : 0.000000
angle : 266.901855, distance : 0.000000
angle : 267.874146, distance : 0.000000
angle : 268.214722, distance : 0.000000
angle : 268.253174, distance : 0.000000
angle : 268.560791, distance : 0.000000
