angle : 176.764526, distance : 0.000000, cluster : 0
angle : 176.781006, distance : 0.000000, cluster : 0
angle : 177.105103, distance : 0.000000, cluster : 0
angle : 177.138062, distance : 0.000000, cluster : 0
angle : 177.434692, distance : 0.000000, cluster : 0
angle : 177.500610, distance : 0.000000, cluster : 0
angle : 177.780762, distance : 0.000000, cluster : 0
angle : 177.863159, distance : 0.000000, cluster : 0
angle : 178.104858, distance : 0.000000, cluster : 0
angle : 178.220215, distance : 0.000000, cluster : 0
angle : 178.450928, distance : 0.000000, cluster : 0
angle : 178.582764, distance : 0.000000, cluster : 0
angle : 178.780518, distance : 0.000000, cluster : 0
angle : 178.939819, distance : 0.000000, cluster : 0
angle : 179.121094, distance : 0.000000, cluster : 0
angle : 179.302368, distance : 0.000000, cluster : 0
angle : 179.450684, distance : 0.000000, cluster : 0
angle : 179.659424, distance : 0.000000, cluster : 0
angle : 179.796753, distance : 0.000000, cluster : 0
angle : 180.021973, distance : 0.000000, cluster : 0
angle : 180.120850, distance : 0.000000, cluster : 0
angle : 180.379028, distance : 0.000000, cluster : 0
angle : 180.466919, distance : 0.000000, cluster : 0
angle : 180.741577, distance : 0.000000, cluster : 0
angle : 180.796509, distance : 0.000000, cluster : 0
angle : 181.137085, distance : 0.000000, cluster : 0
angle : 181.466675, distance : 0.000000, cluster : 0
angle : 181.807251, distance : 0.000000, cluster : 0
angle : 182.153320, distance : 0.000000, cluster : 0
angle : 182.482910, distance : 0.000000, cluster : 0
angle : 182.823486, distance : 0.000000, cluster : 0
angle : 183.153076, distance : 0.000000, cluster : 0
angle : 183.499146, distance : 0.000000, cluster : 0
angle : 184.169312, distance : 0.000000, cluster : 0
angle : 184.449463, distance : 0.000000, cluster : 0
angle : 184.718628, distance : 0.000000, cluster : 0
angle : 185.059204, distance : 0.000000, cluster : 0
angle : 185.388794, distance : 0.000000, cluster : 0
angle : 185.729370, distance : 0.000000, cluster : 0
angle : 186.058960, distance : 0.000000, cluster : 0
angle : 186.405029, distance : 0.000000, cluster : 0
angle : 186.685181, distance : 0.000000, cluster : 0
angle : 187.014771, distance : 0.000000, cluster : 0
angle : 187.745361, distance : 0.000000, cluster : 0
angle : 188.091431, distance : 0.000000, cluster : 0
angle : 188.421021, distance : 0.000000, cluster : 0
angle : 188.761597, distance : 0.000000, cluster : 0
