angle : 257.733765, distance : 0.000000
angle : 258.074341, distance : 0.000000
angle : 258.420410, distance : 0.000000
angle : 259.090576, distance : 0.000000
angle : 259.777222, distance : 0.000000
angle : 260.123291, distance : 0.000000
angle : 260.513306, distance : 0.000000
angle : 261.183472, distance : 0.000000
angle : 261.304321, distance : 0.000000
angle : 266.704102, distance : 0.000000
angle : 267.066650, distance : 0.000000
angle : 270.307617, distance : 0.000000
angle : 271.027222, distance : 0.000000
angle : 271.384277, distance : 0.000000
angle : 274.625244, distance : 0.000000
angle : 275.344849, distance : 0.000000
angle : 275.745850, distance : 0.000000
angle : 276.481934, distance : 0.000000
angle : 276.784058, distance : 0.000000
angle : 277.503662, distance : 0.000000
angle : 277.866211, distance : 0.000000
angle : 278.228760, distance : 0.000000
angle : 278.585815, distance : 0.000000
angle : 278.948364, distance : 0.000000
angle : 278.964844, distance : 0.990000
