dist : 0.000000, i : 30, j : 31
dist : 0.000000, i : 30, j : 32
dist : 0.000000, i : 30, j : 33
dist : 0.000000, i : 30, j : 34
dist : 0.000000, i : 30, j : 35
dist : 1.407234, i : 31, j : 32
dist : 0.565231, i : 31, j : 33
dist : 1.172594, i : 31, j : 34
dist : 1.315069, i : 31, j : 35
dist : 1.075893, i : 32, j : 33
dist : 1.491165, i : 32, j : 34
dist : 1.208031, i : 32, j : 35
dist : 0.708091, i : 33, j : 34
dist : 0.760512, i : 33, j : 35
dist : 0.401596, i : 34, j : 35
